"team","state","year","value","supplier","access_date","source"
"Cruzeiro","MG","2016","239.90","Umbro","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Cruzeiro","MG","2023","349.90","Adidas","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"São Paulo","SP","2015","199.00","Under Armour","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"São Paulo","SP","2016","229.90","Under Armour","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"São Paulo","SP","2018","249.90","Adidas","2025-01-05","https://www.espn.com.br/esports/artigo/_/id/4339344/paixao-tem-preco-veja-diferenca-de-valor-entre-camisas-de-esportes-eletronicos-e-tradicionais"
"São Paulo","SP","2020","249.99","Adidas","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"São Paulo","SP","2023","349.00","Adidas","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"São Paulo","SP","2025","349.99","New Balance","2025-02-17","https://www.msn.com/pt-br/esportes/futebol/s%C3%A3o-paulo-apresenta-nova-camisa-para-2025-inspirada-nos-20-anos-do-tri-mundial-veja/ar-AA1ylBN7#"
"Santos","SP","2015","229.00","Nike","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Santos","SP","2016","269.90","Kappa","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Santos","SP","2020","259.99","Umbro","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Santos","SP","2023","299.90","Umbro","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
