"team","state","year","value","value_int","supplier","value_add_05","value_add_10","value_add_15","value_sub_05","value_sub_10","value_sub_15","wage_value","wage_value_percent","wage_value_percent_int","ipca_value","access_date","source"
"Grêmio","RS","2016","239.9","239","Umbro","250","262","274","227","215","203","880.0","27.16","27","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Grêmio","RS","2017","239.9","239","Umbro","250","262","274","227","215","203","937.0","25.51","25","2.95","2025-02-17","https://ge.globo.com/rs/futebol/times/gremio/noticia/com-tons-de-azul-marinho-gremio-lanca-terceira-camisa-veja.ghtml"
"Grêmio","RS","2018","299.9","299","Umbro","313","328","343","284","269","254","954.0","31.34","31","3.75","2025-02-17","https://gauchazh.clicrbs.com.br/esportes/gremio/noticia/2018/04/gremio-lanca-camisa-branca-para-a-temporada-2018-cjg47c6go00ua01qoswca9das.html"
"Grêmio","RS","2019","249.9","249","Umbro","261","273","286","236","224","211","998.0","24.95","24","4.31","2025-02-17","https://gremio.net/noticias/detalhes/22413/gremio-e-umbro-lancam-novas-camisas-para-a-temporada-2019"
"Grêmio","RS","2020","259.9","259","Umbro","271","284","297","246","233","220","1045.0","24.78","24","4.52","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Grêmio","RS","2021","279.9","279","Umbro","292","306","320","265","251","237","1100.0","25.36","25","10.06","2025-02-17","https://gremio.net/news/detalhes/24625/gremio-e-umbro-lancam-a-terceira-camisa-da-temporada-2021--"
"Grêmio","RS","2022","299.9","299","Umbro","313","328","343","284","269","254","1212.0","24.67","24","5.79","2025-02-17","https://gremio.net/noticias/detalhes/25615/no-mes-em-que-o-gremio-completa-119-anos--umbro-anuncia-a-celeste-como-a-terceira-camisa-da-temporada-"
"Grêmio","RS","2023","349.9","349","Umbro","366","383","401","331","314","296","1320.0","26.44","26","4.62","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Grêmio","RS","2024","349.0","349","Umbro","366","383","401","331","314","296","1412.0","24.72","24","4.83","2025-02-17","https://www.gaz.com.br/gremio-lanca-nova-camisa-2024-em-homenagem-aos-35-anos-da-primeira-copa-do-brasil/"
"Internacional","RS","2013","199.9","199","Nike","208","218","228","189","179","169","678.0","29.35","29","5.91","2025-02-17","https://mantosdofutebol.com.br/2013/01/internacional-terceira-camisa-nike-2013/"
"Internacional","RS","2014","229.9","229","Nike","240","251","263","217","206","194","724.0","31.63","31","6.41","2025-01-05","https://www.uol.com.br/esporte/futebol/ultimas-noticias/2014/08/01/inter-lanca-nova-camisa-sem-festa-e-com-modelo-mais-tradicional.htm"
"Internacional","RS","2015","229.0","229","Nike","240","251","263","217","206","194","788.0","29.06","29","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Internacional","RS","2016","399.9","399","Nike","418","438","458","379","359","339","880.0","45.34","45","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Internacional","RS","2018","199.9","199","Nike","208","218","228","189","179","169","954.0","20.86","20","3.75","2025-02-17","https://gauchazh.clicrbs.com.br/esportes/inter/noticia/2018/04/inter-divulga-nova-camisa-para-a-temporada-2018-cjgi19acd00dl01pa0bqk062r.html"
"Internacional","RS","2019","199.99","199","Nike","208","218","228","189","179","169","998.0","19.94","19","4.31","2025-02-17","https://ge.globo.com/rs/futebol/times/internacional/noticia/inter-lanca-novos-uniformes-com-camisa-alusiva-ao-tri-do-brasileiro-invicto-veja-as-fotos.ghtml"
"Internacional","RS","2020","249.99","249","Adidas","261","273","286","236","224","211","1045.0","23.83","23","4.52","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Internacional","RS","2021","279.99","279","Adidas","292","306","320","265","251","237","1100.0","25.36","25","10.06","2025-02-17","https://ge.globo.com/rs/futebol/times/internacional/noticia/inter-apresenta-terceira-camisa-na-cor-vinho-e-sem-a-borda-no-distintivo-veja-fotos.ghtml"
